        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8) (Re)/
                  5.1362                    -0.024366627
                  5.1511                    -0.024520589
                   5.166                    -0.024675151
                  5.1809                    -0.024830314
                  5.1958                    -0.024986079
                  5.2107                    -0.025142449
                  5.2256                    -0.025299425
                  5.2405                    -0.025457008
                  5.2554                    -0.025615201
                  5.2703                    -0.025774003
                  5.2852                    -0.025933418
                  5.3001                    -0.026093447
                   5.315                    -0.026254091
                  5.3299                    -0.026415352
                  5.3448                    -0.026577231
                  5.3597                     -0.02673973
                  5.3746                    -0.026902851
                  5.3895                    -0.027066596
                  5.4044                    -0.027230965
                  5.4193                    -0.027395961
                  5.4342                    -0.027561585
                  5.4491                    -0.027727839
                   5.464                    -0.027894725
                  5.4789                    -0.028062244
                  5.4938                    -0.028230397
                  5.5087                    -0.028399188
                  5.5236                    -0.028568616
                  5.5385                    -0.028738685
                  5.5534                    -0.028909396
                  5.5683                     -0.02908075
                  5.5832                    -0.029252749
                  5.5981                    -0.029425395
                   5.613                    -0.029598689
                  5.6279                    -0.029772634
                  5.6428                    -0.029947232
                  5.6577                    -0.030122483
                  5.6726                     -0.03029839
                  5.6875                    -0.030474955
                  5.7024                    -0.030652178
                  5.7173                    -0.030830063
                  5.7322                    -0.031008611
                  5.7471                    -0.031187824
                   5.762                    -0.031367703
                  5.7769                    -0.031548251
                  5.7918                    -0.031729469
                  5.8067                     -0.03191136
                  5.8216                    -0.032093924
                  5.8365                    -0.032277164
                  5.8514                    -0.032461082
                  5.8663                     -0.03264568
                  5.8812                    -0.032830959
                  5.8961                    -0.033016922
                   5.911                     -0.03320357
                  5.9259                    -0.033390906
                  5.9408                    -0.033578931
                  5.9557                    -0.033767647
                  5.9706                    -0.033957057
                  5.9855                    -0.034147161
                  6.0004                    -0.034337963
                  6.0153                    -0.034529464
                  6.0302                    -0.034721667
                  6.0451                    -0.034914572
                    6.06                    -0.035108183
                  6.0749                    -0.035302501
                  6.0898                    -0.035497528
                  6.1047                    -0.035693266
                  6.1196                    -0.035889718
                  6.1345                    -0.036086886
                  6.1494                     -0.03628477
                  6.1643                    -0.036483375
                  6.1792                    -0.036682701
                  6.1941                    -0.036882751
                   6.209                    -0.037083527
                  6.2239                    -0.037285031
                  6.2388                    -0.037487265
                  6.2537                    -0.037690232
                  6.2686                    -0.037893933
                  6.2835                    -0.038098371
                  6.2984                    -0.038303548
                  6.3133                    -0.038509466
                  6.3282                    -0.038716127
                  6.3431                    -0.038923534
                   6.358                    -0.039131688
                  6.3729                    -0.039340592
                  6.3878                    -0.039550249
                  6.4027                     -0.03976066
                  6.4176                    -0.039971828
                  6.4325                    -0.040183754
                  6.4474                    -0.040396442
                  6.4623                    -0.040609894
                  6.4772                    -0.040824111
                  6.4921                    -0.041039097
                   6.507                    -0.041254854
                  6.5219                    -0.041471383
                  6.5368                    -0.041688687
                  6.5517                     -0.04190677
                  6.5666                    -0.042125632
                  6.5815                    -0.042345277
                  6.5964                    -0.042565706
                  6.6113                    -0.042786923
                  6.6262                    -0.043008929
                  6.6411                    -0.043231728
                   6.656                    -0.043455321
                  6.6709                    -0.043679711
                  6.6858                    -0.043904901
                  6.7007                    -0.044130892
                  6.7156                    -0.044357688
                  6.7305                    -0.044585291
                  6.7454                    -0.044813704
                  6.7603                    -0.045042929
                  6.7752                    -0.045272968
                  6.7901                    -0.045503825
                   6.805                    -0.045735501
                  6.8199                       -0.045968
                  6.8348                    -0.046201323
                  6.8497                    -0.046435475
                  6.8646                    -0.046670456
                  6.8795                     -0.04690627
                  6.8944                     -0.04714292
                  6.9093                    -0.047380408
                  6.9242                    -0.047618736
                  6.9391                    -0.047857909
                   6.954                    -0.048097927
                  6.9689                    -0.048338794
                  6.9838                    -0.048580513
                  6.9987                    -0.048823087
                  7.0136                    -0.049066517
                  7.0285                    -0.049310808
                  7.0434                    -0.049555961
                  7.0583                     -0.04980198
                  7.0732                    -0.050048867
                  7.0881                    -0.050296625
                   7.103                    -0.050545258
                  7.1179                    -0.050794767
                  7.1328                    -0.051045156
                  7.1477                    -0.051296427
                  7.1626                    -0.051548584
                  7.1775                     -0.05180163
                  7.1924                    -0.052055567
                  7.2073                    -0.052310398
                  7.2222                    -0.052566127
                  7.2371                    -0.052822755
                   7.252                    -0.053080287
                  7.2669                    -0.053338725
                  7.2818                    -0.053598073
                  7.2967                    -0.053858332
                  7.3116                    -0.054119507
                  7.3265                    -0.054381601
                  7.3414                    -0.054644615
                  7.3563                    -0.054908555
                  7.3712                    -0.055173422
                  7.3861                     -0.05543922
                   7.401                    -0.055705951
                  7.4159                     -0.05597362
                  7.4308                    -0.056242229
                  7.4457                    -0.056511782
                  7.4606                    -0.056782281
                  7.4755                     -0.05705373
                  7.4904                    -0.057326132
                  7.5053                     -0.05759949
                  7.5202                    -0.057873808
                  7.5351                    -0.058149089
                    7.55                    -0.058425336
                  7.5649                    -0.058702553
                  7.5798                    -0.058980742
                  7.5947                    -0.059259908
                  7.6096                    -0.059540053
                  7.6245                    -0.059821182
                  7.6394                    -0.060103296
                  7.6543                    -0.060386401
                  7.6692                    -0.060670498
                  7.6841                    -0.060955593
                   7.699                    -0.061241687
                  7.7139                    -0.061528785
                  7.7288                     -0.06181689
                  7.7437                    -0.062106006
                  7.7586                    -0.062396136
                  7.7735                    -0.062687284
                  7.7884                    -0.062979453
                  7.8033                    -0.063272648
                  7.8182                     -0.06356687
                  7.8331                    -0.063862126
                   7.848                    -0.064158416
                  7.8629                    -0.064455747
                  7.8778                    -0.064754121
                  7.8927                    -0.065053541
                  7.9076                    -0.065354013
                  7.9225                    -0.065655539
                  7.9374                    -0.065958123
                  7.9523                    -0.066261769
                  7.9672                    -0.066566481
                  7.9821                    -0.066872262
                   7.997                    -0.067179117
                  8.0119                     -0.06748705
                  8.0268                    -0.067796063
                  8.0417                    -0.068106162
                  8.0566                     -0.06841735
                  8.0715                    -0.068729631
                  8.0864                    -0.069043009
                  8.1013                    -0.069357488
                  8.1162                    -0.069673072
                  8.1311                    -0.069989765
                   8.146                    -0.070307571
                  8.1609                    -0.070626495
                  8.1758                     -0.07094654
                  8.1907                     -0.07126771
                  8.2056                     -0.07159001
                  8.2205                    -0.071913443
                  8.2354                    -0.072238015
                  8.2503                    -0.072563728
                  8.2652                    -0.072890588
                  8.2801                    -0.073218599
                   8.295                    -0.073547765
                  8.3099                    -0.073878089
                  8.3248                    -0.074209578
                  8.3397                    -0.074542234
                  8.3546                    -0.074876062
                  8.3695                    -0.075211067
                  8.3844                    -0.075547254
                  8.3993                    -0.075884625
                  8.4142                    -0.076223187
                  8.4291                    -0.076562943
                   8.444                    -0.076903899
                  8.4589                    -0.077246057
                  8.4738                    -0.077589424
                  8.4887                    -0.077934004
                  8.5036                    -0.078279801
                  8.5185                     -0.07862682
                  8.5334                    -0.078975065
                  8.5483                    -0.079324542
                  8.5632                    -0.079675255
                  8.5781                    -0.080027209
                   8.593                    -0.080380408
                  8.6079                    -0.080734858
                  8.6228                    -0.081090563
                  8.6377                    -0.081447528
                  8.6526                    -0.081805758
                  8.6675                    -0.082165258
                  8.6824                    -0.082526033
                  8.6973                    -0.082888088
                  8.7122                    -0.083251427
                  8.7271                    -0.083616056
                   8.742                     -0.08398198
                  8.7569                    -0.084349204
                  8.7718                    -0.084717733
                  8.7867                    -0.085087573
                  8.8016                    -0.085458727
                  8.8165                    -0.085831203
                  8.8314                    -0.086205004
                  8.8463                    -0.086580136
                  8.8612                    -0.086956605
                  8.8761                    -0.087334416
                   8.891                    -0.087713573
                  8.9059                    -0.088094083
                  8.9208                    -0.088475952
                  8.9357                    -0.088859183
                  8.9506                    -0.089243783
                  8.9655                    -0.089629758
                  8.9804                    -0.090017113
                  8.9953                    -0.090405854
                  9.0102                    -0.090795986
                  9.0251                    -0.091187514
                    9.04                    -0.091580446
                  9.0549                    -0.091974785
                  9.0698                    -0.092370539
                  9.0847                    -0.092767713
                  9.0996                    -0.093166313
                  9.1145                    -0.093566345
                  9.1294                    -0.093967814
                  9.1443                    -0.094370727
                  9.1592                    -0.094775089
                  9.1741                    -0.095180907
                   9.189                    -0.095588188
                  9.2039                    -0.095996936
                  9.2188                    -0.096407158
                  9.2337                    -0.096818861
                  9.2486                     -0.09723205
                  9.2635                    -0.097646732
                  9.2784                    -0.098062914
                  9.2933                    -0.098480602
                  9.3082                    -0.098899801
                  9.3231                     -0.09932052
                   9.338                    -0.099742763
                  9.3529                     -0.10016654
                  9.3678                     -0.10059185
                  9.3827                     -0.10101871
                  9.3976                     -0.10144712
                  9.4125                     -0.10187709
                  9.4274                     -0.10230863
                  9.4423                     -0.10274174
                  9.4572                     -0.10317642
                  9.4721                      -0.1036127
                   9.487                     -0.10405057
                  9.5019                     -0.10449003
                  9.5168                     -0.10493111
                  9.5317                      -0.1053738
                  9.5466                     -0.10581812
                  9.5615                     -0.10626406
                  9.5764                     -0.10671164
                  9.5913                     -0.10716087
                  9.6062                     -0.10761175
                  9.6211                     -0.10806429
                   9.636                     -0.10851849
                  9.6509                     -0.10897437
                  9.6658                     -0.10943194
                  9.6807                      -0.1098912
                  9.6956                     -0.11035216
                  9.7105                     -0.11081482
                  9.7254                      -0.1112792
                  9.7403                     -0.11174531
                  9.7552                     -0.11221314
                  9.7701                     -0.11268272
                   9.785                     -0.11315405
                  9.7999                     -0.11362714
                  9.8148                     -0.11410199
                  9.8297                     -0.11457862
                  9.8446                     -0.11505703
                  9.8595                     -0.11553724
                  9.8744                     -0.11601925
                  9.8893                     -0.11650307
                  9.9042                     -0.11698871
                  9.9191                     -0.11747619
                   9.934                      -0.1179655
                  9.9489                     -0.11845667
                  9.9638                     -0.11894969
                  9.9787                     -0.11944459
                  9.9936                     -0.11994136
                 10.0085                     -0.12044003
                 10.0234                     -0.12094059
                 10.0383                     -0.12144307
                 10.0532                     -0.12194747
                 10.0681                      -0.1224538
                  10.083                     -0.12296208
                 10.0979                     -0.12347231
                 10.1128                     -0.12398451
                 10.1277                     -0.12449868
                 10.1426                     -0.12501485
                 10.1575                     -0.12553301
                 10.1724                     -0.12605319
                 10.1873                     -0.12657539
                 10.2022                     -0.12709963
                 10.2171                     -0.12762592
                  10.232                     -0.12815428
                 10.2469                     -0.12868471
                 10.2618                     -0.12921723
                 10.2767                     -0.12975185
                 10.2916                     -0.13028859
                 10.3065                     -0.13082746
                 10.3214                     -0.13136847
                 10.3363                     -0.13191164
                 10.3512                     -0.13245699
                 10.3661                     -0.13300452
                  10.381                     -0.13355426
                 10.3959                     -0.13410621
                 10.4108                      -0.1346604
                 10.4257                     -0.13521685
                 10.4406                     -0.13577555
                 10.4555                     -0.13633655
                 10.4704                     -0.13689984
                 10.4853                     -0.13746545
                 10.5002                     -0.13803339
                 10.5151                     -0.13860369
                   10.53                     -0.13917636
                 10.5449                     -0.13975141
                 10.5598                     -0.14032888
                 10.5747                     -0.14090877
                 10.5896                      -0.1414911
                 10.6045                     -0.14207591
                 10.6194                      -0.1426632
                 10.6343                     -0.14325299
                 10.6492                     -0.14384531
                 10.6641                     -0.14444018
                  10.679                     -0.14503762
                 10.6939                     -0.14563764
                 10.7088                     -0.14624028
                 10.7237                     -0.14684555
                 10.7386                     -0.14745348
                 10.7535                     -0.14806408
                 10.7684                     -0.14867739
                 10.7833                     -0.14929341
                 10.7982                     -0.14991219
                 10.8131                     -0.15053373
                  10.828                     -0.15115807
                 10.8429                     -0.15178522
                 10.8578                     -0.15241521
