        Frequency / GHz                SZmin(1),Zmax(1) (Lx=8) (Re)/
                  11.424                       0.8214982
                 11.4389                      0.82076081
                 11.4538                      0.82002038
                 11.4687                      0.81927688
                 11.4836                      0.81853032
                 11.4985                      0.81778068
                 11.5134                      0.81702793
                 11.5283                      0.81627208
                 11.5432                      0.81551311
                 11.5581                        0.814751
                  11.573                      0.81398574
                 11.5879                      0.81321732
                 11.6028                      0.81244572
                 11.6177                      0.81167094
                 11.6326                      0.81089295
                 11.6475                      0.81011175
                 11.6624                      0.80932732
                 11.6773                      0.80853964
                 11.6922                      0.80774872
                 11.7071                      0.80695452
                  11.722                      0.80615704
                 11.7369                      0.80535626
                 11.7518                      0.80455218
                 11.7667                      0.80374477
                 11.7816                      0.80293403
                 11.7965                      0.80211994
                 11.8114                      0.80130248
                 11.8263                      0.80048165
